Week,Tickets Created,Tickets Resolved,P1 Tickets,P2 Tickets,P3 Tickets,P4 Tickets,Ticket Critical,Ticket Major,MTTR (hours),P1 - MTTR,P2 - MTTR,P3 - MTTR,P4 - MTTR,MTTR Critical,MTTR Major,Major (P1/P2) Incidents,Overall MTTR (hours),Backlog Aging (HOURS),Backlog Ticket Volume
8W,17,0,0,1,16,,,,35.22,0,0,33,35.0,,,0,35.22,,
9W,21,0,1,0,20,,,,26.65,0,0,0,28.0,,,1,26.65,,
10W,11,0,0,0,11,,,,36.4,0,0,0,36.0,,,0,36.4,,
W9,6,6,0,0,0,6.0,,,5.22,0,0,0,5.0,,,0,5.22,,
w12,7,7,0,0,0,7.0,,,12.55,0,0,0,13.0,,,0,12.55,NA,NA
