Created Date,VPLMN Down,Roaming Partner Down,Lost Service,System Failure
Sat 11,2,0,2,0
Sun 12,1,0,1,0
Mon 13,2,0,2,0
Tue 14,7,1,6,2
Wed 15,10,0,10,0
Thu 16,8,2,7,3
Fri 17,8,1,8,1
