TinyId,Message,CreatedAt,Start Time,End Time,Duration,Error Type,MVNO,VPLMN,Country,Customers,Device type,Impact,Action Taken,Impact Description,Affected Services,CAB,GNOC
12346,kibana: VPLMN DOWN -Vodafone Libertel B.V. - Ziggo [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The nu,2026-07-24 02:24:25 UTC,01:55 UTC,02:01 UTC,06 Minutes,Lost Service,Orange_901,Vodafone Libertel B.V. - Ziggo,Netherlands,INVERS GmbH,"ESSENTIALS5, ADVANCED4",Minor,Alert closed manually,,,No,
12336,kibana: VPLMN DOWN -Wind Tre S.p.A.  [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius,2026-07-23 23:44:26 UTC,23:16 UTC,23:21 UTC,05 Minutes,Lost Service,"Orange_901 , BICS, JT",Wind Tre S.p.A.,Italy,"INVERS GmbH, KGS Fire & Security B.V, UTC Fire & Security B.V etc.","ESSENTIALS5,ADVANCED4,ADVANCED2 etc.",Minor,Alert closed manually,,,No,
12287,kibana: VPLMN DOWN -Vodafone Italia S.p.A [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of r,2026-07-23 21:04:19 UTC,21:00 UTC,21:15 UTC,15 Minutes,Lost Service,Orange_901,Vodafone Italia S.p.A,Italy,INVERS GmbH,"ESSENTIALS5,ADVANCED4,ADVANCED2,ADVANCED3",Minor,Alert closed manually,,,No,
12284,kibana: VPLMN DOWN -Vodafone Italia S.p.A [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of r,2026-07-23 20:44:27 UTC,20:27 UTC,20:47 UTC,20 Minutes,Lost Service,Orange_901,Vodafone Italia S.p.A,Italy,INVERS GmbH,"ESSENTIALS5,ADVANCED4,ADVANCED2,ADVANCED3",Minor,Alert closed manually,,,No,
12168,kibana: VPLMN DOWN -AT&T Mobility [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius te,2026-07-23 09:24:20 UTC,"08:15 UTC, 2026-07-23",9:25 UTC,1 Hr 10mins,Lost Service,Sparkle (BICS — initial trigger only),AT&T Mobility,"France, Canada, USA, Iran, Saudi Arabia","ChargePoint Inc, Synox, ALLOVIE, Nextivity, BAMS DIGITAL SAS, Networth Telecom, PV COTES NO, Solustop, PV PAYS D'OUEST, Telecom Design","Essentials1, Advanced, Advanced2, Advanced4, Lite2",Major,JSM GNOC-12701 Created.,"Multiple customers impacted across France, Canada, USA, Iran, and Saudi Arabia. Devices experiencing Lost Service, System Failures, and RNA errors. Capable devices partially mitigated the impact by switching RAT or roaming partners. Status Page issued at 08:56 UTC.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12701
12139,kibana: ROAMING PARTNER DOWN -SPARKLE [MVNO-US - Lost-Service] - Radius Terminated sessions increase |         The number of radiu,2026-07-23 08:57:35 UTC,"08:15 UTC, 2026-07-23",9:25 UTC,1 Hr 10mins,Lost Service,Sparkle (BICS — initial trigger only),"Orange France, AT&T Mobility, Bouygues Telecom, T-Mobile USA, MTN Benin (SpaceTel), Rogers Wireless, Bell Mobility, Hutchison 3G UK, MTN Cameroon, Salt Mobile SA","France, Canada, USA, Iran, Saudi Arabia","ChargePoint Inc, Synox, ALLOVIE, Nextivity, BAMS DIGITAL SAS, Networth Telecom, PV COTES NO, Solustop, PV PAYS D'OUEST, Telecom Design","Essentials1, Advanced, Advanced2, Advanced4, Lite2",Major,JSM Raised GNOC-12701,"Multiple customers impacted across France, Canada, USA, Iran, and Saudi Arabia. Devices experiencing Lost Service, System Failures, and RNA errors. Capable devices partially mitigated the impact by switching RAT or roaming partners. Status Page issued at 08:56 UTC.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12701
12134,kibana: VPLMN DOWN - Orange France [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed sessio,2026-07-23 08:47:59 UTC,"08:15 UTC, 2026-07-23",9:25 UTC,1 Hr 10mins,System Failure,Sparkle (BICS — initial trigger only),Orange France,"France, Canada, USA, Iran, Saudi Arabia","ChargePoint Inc, Synox, ALLOVIE, Nextivity, BAMS DIGITAL SAS, Networth Telecom, PV COTES NO, Solustop, PV PAYS D'OUEST, Telecom Design","Essentials1, Advanced, Advanced2, Advanced4, Lite2",Major,GNOC-12701 created,"Multiple customers impacted across France, Canada, USA, Iran, and Saudi Arabia. Devices experiencing Lost Service, System Failures, and RNA errors. Capable devices partially mitigated the impact by switching RAT or roaming partners. Status Page issued at 08:56 UTC.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12701
12132,kibana: VPLMN DOWN -GCI Communication Corp [MVNO-US - Lost-Service] - Radius Terminated sessions increase |         The number of,2026-07-23 08:46:41 UTC,"08:15 UTC, 2026-07-23",9:25 UTC,1 Hr 10mins,Lost Service,Sparkle (BICS — initial trigger only),GCI Communication Corp,"France, Canada, USA, Iran, Saudi Arabia","ChargePoint Inc, Synox, ALLOVIE, Nextivity, BAMS DIGITAL SAS, Networth Telecom, PV COTES NO, Solustop, PV PAYS D'OUEST, Telecom Design","Essentials1, Advanced, Advanced2, Advanced4, Lite2",Major,GNOC-12701 created,"Multiple customers impacted across France, Canada, USA, Iran, and Saudi Arabia. Devices experiencing Lost Service, System Failures, and RNA errors. Capable devices partially mitigated the impact by switching RAT or roaming partners. Status Page issued at 08:56 UTC.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12701
12131,kibana: VPLMN DOWN -Orange France [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius te,2026-07-23 08:44:20 UTC,"08:15 UTC, 2026-07-23",9:25 UTC,1 Hr 10mins,Lost Service,Sparkle (BICS — initial trigger only),Orange France,"France, Canada, USA, Iran, Saudi Arabia","ChargePoint Inc, Synox, ALLOVIE, Nextivity, BAMS DIGITAL SAS, Networth Telecom, PV COTES NO, Solustop, PV PAYS D'OUEST, Telecom Design","Essentials1, Advanced, Advanced2, Advanced4, Lite2",Major,GNOC-12701 created,"Multiple customers impacted across France, Canada, USA, Iran, and Saudi Arabia. Devices experiencing Lost Service, System Failures, and RNA errors. Capable devices partially mitigated the impact by switching RAT or roaming partners. Status Page issued at 08:56 UTC.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12701
12080,kibana: VPLMN DOWN -A1 Telekom Austria AG [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of r,2026-07-23 08:24:28 UTC,"08:15 UTC, 2026-07-23",9:25 UTC,1 Hr 10mins,Lost Service,Sparkle (BICS — initial trigger only),A1 Telekom Austria AG,"France, Canada, USA, Iran, Saudi Arabia","ChargePoint Inc, Synox, ALLOVIE, Nextivity, BAMS DIGITAL SAS, Networth Telecom, PV COTES NO, Solustop, PV PAYS D'OUEST, Telecom Design","Essentials1, Advanced, Advanced2, Advanced4, Lite2",Major,GNOC-12701 created,"Multiple customers impacted across France, Canada, USA, Iran, and Saudi Arabia. Devices experiencing Lost Service, System Failures, and RNA errors. Capable devices partially mitigated the impact by switching RAT or roaming partners. Status Page issued at 08:56 UTC.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12701
12050,kibana: VPLMN DOWN -Vodafone Ireland Limited [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number o,2026-07-23 05:44:24 UTC,05:10 UTC,05:29 UTC,19 Minutes,Lost Service,Orange_901,Vodafone Ireland Limited,Ireland,KGS Fire & Security B.V,"ADVANCED4, ESSENTIALS5",Minor,Alert closed manually,,,No,
12026,kibana: VPLMN DOWN -Telecom Italia SpA [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radi,2026-07-23 01:04:27 UTC,00:45 & 01:02 UTC,00:48 & 01:04 UTC,05 Minutes,Lost Service,Orange & orange_901,Telecom Italia SpA,Italy,"INVERS GmbH,Girbau,SAVVY Telematic Systems AG,E-Trailer etc.","ESSENTIALS5, ADVANCED4, ADVANCED2_NODATA",Minor,Alert closed manually,,,No,
11994,kibana: VPLMN DOWN -Vodafone Ireland Limited [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number o,2026-07-22 16:24:25 UTC,16:06 UTC,16:20 UTC,14 Minutes,Lost Service,JT,Vodafone Ireland Limited,Ireland,UTC Fire & Security B.V,"ESSENTIALS3, ADVANCED4",Minor,Alert closed manually,Minor Impact,,No,
11912,kibana: VPLMN DOWN -Orange France [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius te,2026-07-22 12:44:25 UTC,2026-07-22 at 12:10 UTC | 2026-07-22 at 13:55 UTC,2026-07-22 at 12:25 UTC | 2026-07-22 at 15:30 UTC,01 hrs 50 Minutes,Lost Service,SPARKLE,Orange France,"France, Canada, United States of America, Iran, Saudi Arabia","NX BUDDY, Networth Telecom, Solustop, Matooma, Franke & Werner GmbH, Toyota Material Handling, Nextivity, Synox, Connected Cycle, ChargePoint Inc","ESSENTIALS1, ADVANCED, ADVANCED2, ADVANCED4, LITE2",Major,Created JSM ticket / Reached out to Roaming partner | JSM Created -GNOC-12689,"Because of Lost Service, the device sessions must have dropped abruptly. However the device did a successful registration followed by creation of session with minor delay.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12689
11911,kibana: ROAMING PARTNER DOWN -SPARKLE [MVNO-US - Lost-Service] - Radius Terminated sessions increase |         The number of radiu,2026-07-22 12:37:37 UTC,2026-07-22 at 12:10 UTC | 2026-07-22 at 13:55 UTC,2026-07-22 at 12:25 UTC | 2026-07-22 at 15:30 UTC,01 hrs 50 Minutes,Lost Service,SPARKLE,"Telenor Norge AS, T-Mobile USA Inc, Orange France, Bouygues Telecom, Rogers Wireless, Telefónica Germany GmbH & Co. oHG, Bell Mobility Inc., Telekom Deutschland GmbH (T-Mobile), AT&T Mobility, Hutchison 3G UK Limited","France, Canada, United States of America, Iran, Saudi Arabia","NX BUDDY, Networth Telecom, Solustop, Matooma, Franke & Werner GmbH, Toyota Material Handling, Nextivity, Synox, Connected Cycle, ChargePoint Inc","ESSENTIALS1, ADVANCED, ADVANCED2, ADVANCED4, LITE2",Major,Created JSM ticket / Reached out to Roaming partner | JSM Created -GNOC-12689,"Because of Lost Service, the device sessions must have dropped abruptly. However the device did a successful registration followed by creation of session with minor delay.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12689
11910,"kibana: VPLMN DOWN - SK Telecom Co., Ltd. [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed",2026-07-22 12:27:59 UTC,2026-07-22 at 12:10 UTC | 2026-07-22 at 13:55 UTC,2026-07-22 at 12:25 UTC | 2026-07-22 at 15:30 UTC,01 hrs 50 Minutes,System Failure,SPARKLE,"SK Telecom Co., Ltd.","France, Canada, United States of America, Iran, Saudi Arabia","NX BUDDY, Networth Telecom, Solustop, Matooma, Franke & Werner GmbH, Toyota Material Handling, Nextivity, Synox, Connected Cycle, ChargePoint Inc","ESSENTIALS1, ADVANCED, ADVANCED2, ADVANCED4, LITE2",Major,Created JSM ticket / Reached out to Roaming partner | JSM Created -GNOC-12689,"Because of Lost Service, the device sessions must have dropped abruptly. However the device did a successful registration followed by creation of session with minor delay.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12689
11909,kibana: VPLMN DOWN -AT&T Mobility [MVNO-US - Lost-Service] - Radius Terminated sessions increase |         The number of radius te,2026-07-22 12:26:39 UTC,2026-07-22 at 12:10 UTC | 2026-07-22 at 13:55 UTC,2026-07-22 at 12:25 UTC | 2026-07-22 at 15:30 UTC,01 hrs 50 Minutes,Lost Service,SPARKLE,AT&T Mobility,"France, Canada, United States of America, Iran, Saudi Arabia","NX BUDDY, Networth Telecom, Solustop, Matooma, Franke & Werner GmbH, Toyota Material Handling, Nextivity, Synox, Connected Cycle, ChargePoint Inc","ESSENTIALS1, ADVANCED, ADVANCED2, ADVANCED4, LITE2",Major,Created GNOC-12689,"Because of Lost Service, the device sessions must have dropped abruptly. However the device did a successful registration followed by creation of session with minor delay.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12689
11907,kibana: VPLMN DOWN - Telekom Deutschland GmbH (T-Mobile) [ Diameter/Sigtran  - System failure / Unable to comply ] |         The n,2026-07-22 12:07:56 UTC,2026-07-22 at 12:10 UTC | 2026-07-22 at 13:55 UTC,2026-07-22 at 12:25 UTC | 2026-07-22 at 15:30 UTC,01 hrs 50 Minutes,System Failure,SPARKLE,Telekom Deutschland GmbH (T-Mobile),"France, Canada, United States of America, Iran, Saudi Arabia","NX BUDDY, Networth Telecom, Solustop, Matooma, Franke & Werner GmbH, Toyota Material Handling, Nextivity, Synox, Connected Cycle, ChargePoint Inc","ESSENTIALS1, ADVANCED, ADVANCED2, ADVANCED4, LITE2",Major,Created JSM ticket / Reached out to Roaming partner | JSM Created -GNOC-12689,"Because of Lost Service, the device sessions must have dropped abruptly. However the device did a successful registration followed by creation of session with minor delay.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12689
11906,kibana: VPLMN DOWN - Orange France [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed sessio,2026-07-22 11:48:00 UTC,2026-07-22 at 12:10 UTC | 2026-07-22 at 13:55 UTC,2026-07-22 at 12:25 UTC | 2026-07-22 at 15:30 UTC,01 hrs 50 Minutes,System Failure,SPARKLE,Orange France,"France, Canada, United States of America, Iran, Saudi Arabia","NX BUDDY, Networth Telecom, Solustop, Matooma, Franke & Werner GmbH, Toyota Material Handling, Nextivity, Synox, Connected Cycle, ChargePoint Inc","ESSENTIALS1, ADVANCED, ADVANCED2, ADVANCED4, LITE2",Major,Created JSM ticket / Reached out to Roaming partner | JSM Created -GNOC-12689,"Because of Lost Service, the device sessions must have dropped abruptly. However the device did a successful registration followed by creation of session with minor delay.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12689
11905,kibana: VPLMN DOWN -Telstra Corporation Limited [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The numbe,2026-07-22 11:44:23 UTC,12:17 UTC,12:19 UTC,03 Minutes,Lost Service,Sparkle,Telstra Corporation Limited,Australia,"Nextivity , INVERS GmbH Garmin New Zealand Tedd Engineering",ADVANCED4,Minor,Alert closed manually,minor impact,,No,
11903,kibana: ROAMING PARTNER DOWN - SPARKLE [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed se,2026-07-22 11:38:02 UTC,2026-07-22 at 12:10 UTC | 2026-07-22 at 13:55 UTC,2026-07-22 at 12:25 UTC | 2026-07-22 at 15:30 UTC,01 hrs 50 Minutes,System Failure,SPARKLE,"Telenor Norge AS,T-Mobile USA, Inc,Orange France,Bouygues Telecom,Rogers Wireless,Telefónica Germany GmbH & Co. oHG,Bell Mobility Inc.,Telekom Deutschland GmbH (T-Mobile),AT&T Mobility,Hutchison 3G UK Limited","France, Canada, United States of America, Iran, Saudi Arabia","NX BUDDY, Networth Telecom, Solustop, Matooma, Franke & Werner GmbH, Toyota Material Handling, Nextivity, Synox, Connected Cycle, ChargePoint Inc","ESSENTIALS1, ADVANCED, ADVANCED2, ADVANCED4, LITE2",Major,"JSM Created -GNOC-12689 | Created JSM , escalated to sparkle","Because of Lost Service, the device sessions must have dropped abruptly. However the device did a successful registration followed by creation of session with minor delay.","Service Establishment (Network Access), DATA, SMS, VOICE",No,GNOC-12689
11880,kibana: VPLMN DOWN -Verizon Wireless [MVNO-US - Lost-Service] - Radius Terminated sessions increase |         The number of radius,2026-07-22 06:06:48 UTC,,,6 Hours 10 Minutes,Lost Service,,Verizon Wireless,,,,Major,JSM Incident ticket created. Alert is associated with ticket GNOC-12684.,,"DATA, SMS, VOICE",No,GNOC-12684
11877,kibana: ROAMING PARTNER DOWN -  [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed sessions,2026-07-22 05:57:54 UTC,,,6 Hours 10 Minutes,System Failure,,,,,,Major,"GNOC-12684 created, System failure observed for VZW for MVNO service offering via MBQT",,"DATA, SMS, VOICE",No,GNOC-12684
11832,kibana: VPLMN DOWN -Sunrise Communications AG [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number,2026-07-21 23:04:22 UTC,22:44 UTC,23:16 UTC,32 Minutes,Lost Service,Orange_901,Sunrise Communications AG,Switzerland,"Weezevant SAS , SAVVY telematics System AG","ESSENTIALS5 , ADVANCED4 , ADVANCED6 , ADVANCED3",Error Count is Low & Error are return back to Normal,Alert closed manually,Minor impact,,No,
11830,kibana: VPLMN DOWN -A1 Telekom Austria AG [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of r,2026-07-21 22:44:22 UTC,22:10 UTC,22:42 UTC,32 Minutes,Lost Service,BICS,A1 Telekom Austria AG,Austria,"Neat Electronics Ab , INVERS GmbH","ESSENTIALS5 , ADVANCED4 , ADVANCED3 , ADVANCED6",Error Count is Low & Error are return back to Normal,,,,No,
11829,kibana: ROAMING PARTNER DOWN - JT [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed session,2026-07-21 22:18:03 UTC,21:59 UTC,22:01 UTC,03 Minutes,System Failure,JT,AT&T Mobility,,"Garmin New Zealand ltd, Connected Cycle,Premier Wireless Solutions, Aperia Technologies and ChargePoint",ADVANCED4/ADVANCED3/ADVANCED/ADVANCED2/ESSENTIALS1(mapping Issue).,Minor,,,,No,
11817,kibana: VPLMN DOWN -Telefonica Celular Del Paraguay S.A. (Telecel S.A.) [MVNO-EU - Lost-Service] - Radius Terminated sessions incr,2026-07-21 19:24:21 UTC,18:27 & 19:04 UTC,18:29 & 19:08 UTC,2+4 Minutes,Lost Service,Sparkle,Telefonica Celular Del Paraguay S.A. (Telecel S.A.),Paraguay,Allcom Telecom Brazil - Reseller & PROTEK PRAGUAY,ESSENTIALS1,Minor,,,,No,
11798,kibana: VPLMN DOWN -Telecom Personal S.A. [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of r,2026-07-21 15:04:20 UTC,14:33 UTC,14:38 UTC,05 Minutes,Lost Service,Sparkle,Telecom Personal S.A.,Argentina,Allcom Telecom Brazil - Reseller,"ESSENTIALS1,ADVANCED2",Minor,,,,No,
11784,kibana: VPLMN DOWN -Togo Cellulaire [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius,2026-07-21 11:24:22 UTC,11:00 UTC,11:12 UTC,12 Minutes,Lost Service,BICS,Togo Cellulaire,Togo,Webb Fontaine Group FZ LLC,"ESSENTIALS2,ADVANCED2",Minor,,,,No,
11782,kibana: VPLMN DOWN -Vodafone-Panafon Hellenic Telecommunications Company S.A. [MVNO-EU - Lost-Service] - Radius Terminated session,2026-07-21 10:44:22 UTC,10:22 UTC,10:32 UTC,10 Minutes,Lost Service,JT,Vodafone-Panafon Hellenic Telecommunications Company S.A.,Greece,UTC Fire & Security B.V.,"ESSENTIALS3,ADVANCED2",Minor,,,,No,
