TinyId,Message,CreatedAt,Start Time,End Time,Duration,Error Type,MVNO,VPLMN,Country,Customers,Device type,Impact,Action Taken,Impact Description,Affected Services,CAB,GNOC
11779,kibana: VPLMN DOWN -S.C. Vodafone Romania S.A. [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number,2026-07-21 09:44:22 UTC,09:13 UTC,09:25 UTC,12 Minutes,Lost Service,Orange_901,S.C. Vodafone Romania S.A.,Romania,"Eco Compteur,Textron Specialty Vehicles,Ingersoll Rand EMEIA","ESSENTIALS5,ADVANCED2",Minor,,,,No,
11778,kibana: VPLMN DOWN -Wind Tre S.p.A.  [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius,2026-07-21 09:24:22 UTC,09:09 UTC,09:12 UTC,03 Minutes,Lost Service,Orange_901,Wind Tre S.p.A.,Italy,INVERS GmbH,"ESSENTIALS5,ADVANCED2",Minor,,,,No,
11765,kibana: VPLMN DOWN - Orange M2M [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed sessions,2026-07-21 05:27:57 UTC,05:00 UTC,05:20 UTC,20 Minutes,System Failure,Orange_901,Orange M2M,Global IOT,SIMetery,RETIRED,Minor,,,,No,
11753,kibana: VPLMN DOWN -Salt Mobile SA [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius t,2026-07-21 00:24:27 UTC,00:05 UTC,00:08 UTC,03 Minutes,Lost Service,JT,Salt Mobile SA,Switzerland,Loomis Schweiz AG - Conne,"ESSENTIALS3, ADVANCED4,ADVANCED3",Minor,,,,No,
11696,kibana: VPLMN DOWN -A1 Telekom Austria AG [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of r,2026-07-20 21:44:24 UTC,21:22 UTC,21:44 UTC,22 Minutes,Lost Service,BICS,A1 Telekom Austria AG,Austria,NEAT Electronics AB,ESSENTIALS4,Minor,,,,No,
11675,kibana: VPLMN DOWN -Bouygues Telecom [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius,2026-07-20 14:24:21 UTC,14:08 UTC,14:20 UTC,12 Minutes,Lost Service,BICS,Bouygues Telecom,France,"Wilson Electronics,Hafslund,KGS Fire & Security B.V,Synox,FIFTEEN,MATOOMA,Solustop","ESSENTIALS2,ADVANCED2",Minor,,,,No,
11671,kibana: ROAMING PARTNER DOWN -BICS [MVNO-US - Lost-Service] - Radius Terminated sessions increase |         The number of radius t,2026-07-20 14:17:36 UTC,14:08 UTC,14:12 UTC,04 Minutes,Lost Service,BICS,"T-Mobile USA, Inc,Telia Sverige AB,Bouygues Telecom,Telia Norge,Tele2 Sverige AB,Orange France","Sweden,USA,France Etc","Wilson Electronics,Hafslund,KGS Fire & Security B.V,Synox","ESSENTIALS2,ADVANCED2",Minor,,,,No,
11654,kibana: VPLMN DOWN -Wind Tre S.p.A.  [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius,2026-07-20 07:04:31 UTC,06:44 UTC,06:46 UTC,2 Minutes,Lost Service,Orange_901,Wind Tre S.p.A.,Italy,"INVERS GmbH, INPUT SRL","ESSENTIALS5, ADVANCED4",Minor,,,,No,
11622,kibana: VPLMN DOWN -Nuuday A/S [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radius termi,2026-07-20 01:44:27 UTC,01:14 UTC,01:24 UTC,10 mins,Lost Service,Orange_901,Nuuday A/S,,"Bambora Device AB, INVERS GmbH",ESSENTIALS,Minor,,,,No,
11603,kibana: VPLMN DOWN -Telia Finland Oyj [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radiu,2026-07-19 20:44:24 UTC,20:26 UTC,20:27 UTC,1 Minutes,Lost Service,ORANGE_901,Telia Finland Oyj,Finland,"Caruna Oy, Bambora Device AB, INVERS GmbH, etc.","ESSENTIALS5, ADVANCED3, ADVANCED4",Minor,,,,No,
11594,kibana: ROAMING PARTNER DOWN - SPARKLE [ Diameter/Sigtran  - System failure / Unable to comply ] |         The number of Failed se,2026-07-19 14:57:56 UTC,14:14 UTC,16:11 UTC,123 Minutes,System Failure,Sparkle,"Telenor Norge AS, Bouygues Telecom, Telefónica Germany GmbH & Co. oHG, T-Mobile USA, Inc, Orange France",,"NX BUDDY, Franke & Werner GmbH, Solustop, Networth Telecom, Matooma, Nextivity","ADVANCED4, ESSENTIALS1, ADVANCED, ADVANCED3",Minor,,,,No,
11530,kibana: VPLMN DOWN -Telia Finland Oyj [MVNO-EU - Lost-Service] - Radius Terminated sessions increase |         The number of radiu,2026-07-18 11:24:23 UTC,"11:08 UTC, 11:28 UTC","11:10 UTC, 11:30 UTC",2 Minutes,Lost Service,Orange_901,Telia Finland Oyj,,"Caruna Oy, Bambora Device AB","ESSENTIALS5, ADVANCED4, ADVANCED3",2 spikes observed,,,,No,
